dataset,method,parameters,change_points,time_ms
lga_passengers,MicroWatch(idx=1),"{""threshold_ratio"":2.252130654,""batch_size"":3.0,""max_dist_size"":94.0,""new_dist_buffer_size"":4.0}",15;123;129;168;294,0.112
lga_passengers,MicroWatch(idx=2),"{""max_dist_size"":50.0,""threshold_ratio"":2.718915871,""batch_size"":4.0,""new_dist_buffer_size"":4.0}",280;296,0.026
lga_passengers,MicroWatch(idx=3),"{""new_dist_buffer_size"":6.0,""threshold_ratio"":1.81270736,""batch_size"":3.0,""max_dist_size"":88.0}",339;348;384,0.062
lga_passengers,MicroWatch(idx=4),"{""max_dist_size"":55.0,""batch_size"":4.0,""threshold_ratio"":2.971644565,""new_dist_buffer_size"":3.0}",124;132;168;272;296,0.067
lga_passengers,MicroWatch(idx=5),"{""max_dist_size"":17.0,""new_dist_buffer_size"":31.0,""batch_size"":4.0,""threshold_ratio"":1.264276913}",88;124;280;340;436,0.023
lga_passengers,MicroWatch(idx=6),"{""max_dist_size"":21.0,""new_dist_buffer_size"":11.0,""threshold_ratio"":1.042967553,""batch_size"":3.0}",12;27;48;87;123;144;165;186;243;273;294;447,0.034
lga_passengers,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,6.921
lga_passengers,CUSUM,"twarmup=294, plimit=0.571143058904489",58;101;194;261;303;347;394;441,0.008
lga_passengers,PELT,"penalty=7, jump=8, min_size=1",14;110;164;254;423;468,17.201
measles,MicroWatch(idx=0),"{""new_dist_buffer_size"":49.0,""batch_size"":3.0,""threshold_ratio"":0.413195058,""max_dist_size"":62.0}",,0.041
measles,MicroWatch(idx=1),"{""new_dist_buffer_size"":37.0,""max_dist_size"":87.0,""batch_size"":4.0,""threshold_ratio"":3.998925562}",,0.047
measles,MicroWatch(idx=2),"{""new_dist_buffer_size"":22.0,""threshold_ratio"":3.44513407,""batch_size"":3.0,""max_dist_size"":89.0}",,0.049
measles,MicroWatch(idx=3),"{""max_dist_size"":88.0,""threshold_ratio"":3.769623797,""new_dist_buffer_size"":8.0,""batch_size"":6.0}",,0.042
measles,MicroWatch(idx=4),"{""batch_size"":4.0,""new_dist_buffer_size"":35.0,""max_dist_size"":85.0,""threshold_ratio"":3.643604134}",,0.061
measles,MicroWatch(idx=5),"{""batch_size"":5.0,""max_dist_size"":94.0,""threshold_ratio"":3.65312537,""new_dist_buffer_size"":7.0}",685,0.075
measles,MicroWatch(idx=6),"{""batch_size"":4.0,""threshold_ratio"":3.819045087,""max_dist_size"":79.0,""new_dist_buffer_size"":44.0}",,0.035
measles,BOCPD,"alpha=0.001, beta=0.001, kappa=5, mu=0",,30.967
measles,CUSUM,"twarmup=143, plimit=0.05171962787404024",38;84;119;155;193;236;311;359;403;444;478;520;574;611;653;687;731;774;816;861;896;945;988,0.025
measles,PELT,"penalty=20, jump=1, min_size=1",991,84.735
nile,MicroWatch(idx=0),"{""new_dist_buffer_size"":21.0,""batch_size"":4.0,""threshold_ratio"":0.998558568,""max_dist_size"":45.0}",,0.021
nile,MicroWatch(idx=1),"{""new_dist_buffer_size"":16.0,""batch_size"":4.0,""threshold_ratio"":2.044955484,""max_dist_size"":26.0}",28,0.015
nile,MicroWatch(idx=2),"{""new_dist_buffer_size"":14.0,""threshold_ratio"":2.797278577,""max_dist_size"":64.0,""batch_size"":4.0}",,0.013
nile,MicroWatch(idx=3),"{""threshold_ratio"":1.942739307,""batch_size"":4.0,""max_dist_size"":62.0,""new_dist_buffer_size"":27.0}",,0.012
nile,MicroWatch(idx=4),"{""threshold_ratio"":3.265373245,""batch_size"":4.0,""new_dist_buffer_size"":10.0,""max_dist_size"":89.0}",28,0.027
nile,MicroWatch(idx=5),"{""batch_size"":3.0,""max_dist_size"":26.0,""threshold_ratio"":0.262743378,""new_dist_buffer_size"":23.0}",24,0.008
nile,MicroWatch(idx=6),"{""batch_size"":4.0,""threshold_ratio"":1.184525963,""max_dist_size"":40.0,""new_dist_buffer_size"":25.0}",28,0.007
nile,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,0.339
nile,CUSUM,"twarmup=121, plimit=0.1323502965647935",41,0.002
nile,PELT,"penalty=1, jump=2, min_size=9",27;100,0.222
occupancy,MicroWatch(idx=0),"{""batch_size"":3.0,""threshold_ratio"":1.016785537,""max_dist_size"":56.0,""new_dist_buffer_size"":45.0}",,0.029
occupancy,MicroWatch(idx=1),"{""batch_size"":6.0,""max_dist_size"":13.0,""new_dist_buffer_size"":14.0,""threshold_ratio"":1.656564064}",30;54;96;144;186;234;270;324;342;360;420;438;456,0.033
occupancy,MicroWatch(idx=2),"{""new_dist_buffer_size"":47.0,""batch_size"":3.0,""threshold_ratio"":0.925715672,""max_dist_size"":72.0}",51;99;147;195;243;417;465,0.045
occupancy,MicroWatch(idx=3),"{""threshold_ratio"":0.930468737,""new_dist_buffer_size"":39.0,""max_dist_size"":79.0,""batch_size"":3.0}",51;90;141;180;240;279;324;363;414;459;504,0.076
occupancy,MicroWatch(idx=4),"{""max_dist_size"":51.0,""batch_size"":3.0,""new_dist_buffer_size"":41.0,""threshold_ratio"":1.458138}",51;93;141;183;234;417,0.101
occupancy,MicroWatch(idx=5),"{""max_dist_size"":59.0,""new_dist_buffer_size"":29.0,""threshold_ratio"":0.171617444,""batch_size"":4.0}",52;84;140;172;240;340;416;448,0.131
occupancy,MicroWatch(idx=6),"{""batch_size"":4.0,""new_dist_buffer_size"":22.0,""max_dist_size"":44.0,""threshold_ratio"":1.220855472}",52;92;140;184;236;260;336;416;464;504,0.069
occupancy,PELT,"penalty=5, jump=9, min_size=1",12;58;92;104;149;185;241;264;288;341;353;419;456;509,24.270
ozone,MicroWatch(idx=0),"{""new_dist_buffer_size"":27.0,""max_dist_size"":12.0,""threshold_ratio"":3.732766093,""batch_size"":4.0}",,0.005
ozone,MicroWatch(idx=1),"{""batch_size"":4.0,""max_dist_size"":96.0,""new_dist_buffer_size"":26.0,""threshold_ratio"":0.370735106}",28,0.006
ozone,MicroWatch(idx=2),"{""threshold_ratio"":0.103845245,""max_dist_size"":16.0,""batch_size"":4.0,""new_dist_buffer_size"":25.0}",28,0.006
ozone,MicroWatch(idx=3),"{""new_dist_buffer_size"":25.0,""batch_size"":4.0,""max_dist_size"":66.0,""threshold_ratio"":0.596939605}",28,0.004
ozone,MicroWatch(idx=4),"{""max_dist_size"":71.0,""batch_size"":4.0,""threshold_ratio"":0.255549556,""new_dist_buffer_size"":27.0}",28,0.004
ozone,MicroWatch(idx=5),"{""batch_size"":4.0,""threshold_ratio"":0.686264876,""max_dist_size"":70.0,""new_dist_buffer_size"":25.0}",28,0.004
ozone,MicroWatch(idx=6),"{""threshold_ratio"":0.103902241,""new_dist_buffer_size"":25.0,""max_dist_size"":57.0,""batch_size"":4.0}",28,0.003
ozone,BOCPD,"alpha=0.1, beta=10, kappa=0.1, mu=0",29,0.107
ozone,CUSUM,"twarmup=219, plimit=0.6980735635352994",49,0.002
ozone,PELT,"penalty=0.0000000001, jump=8, min_size=9",9;18;27;36;45;54,0.068
quality_control_1,MicroWatch(idx=0),"{""threshold_ratio"":0.955002515,""batch_size"":6.0,""new_dist_buffer_size"":33.0,""max_dist_size"":10.0}",312,0.013
quality_control_1,MicroWatch(idx=1),"{""batch_size"":6.0,""threshold_ratio"":3.497463148,""max_dist_size"":62.0,""new_dist_buffer_size"":43.0}",144,0.019
quality_control_1,MicroWatch(idx=2),"{""batch_size"":3.0,""threshold_ratio"":0.165061772,""max_dist_size"":89.0,""new_dist_buffer_size"":26.0}",27;54;81;108;135;162;189;216;243;270;297,0.018
quality_control_1,MicroWatch(idx=3),"{""new_dist_buffer_size"":39.0,""batch_size"":6.0,""threshold_ratio"":1.768767217,""max_dist_size"":49.0}",102,0.015
quality_control_1,MicroWatch(idx=4),"{""max_dist_size"":94.0,""new_dist_buffer_size"":20.0,""batch_size"":5.0,""threshold_ratio"":2.082744893}",145,0.060
quality_control_1,MicroWatch(idx=5),"{""threshold_ratio"":3.822143826,""new_dist_buffer_size"":25.0,""max_dist_size"":15.0,""batch_size"":3.0}",144;279,0.015
quality_control_1,MicroWatch(idx=6),"{""batch_size"":6.0,""threshold_ratio"":1.294981196,""new_dist_buffer_size"":50.0,""max_dist_size"":22.0}",108;180,0.013
quality_control_1,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=5",141,3.481
quality_control_1,CUSUM,"twarmup=92, plimit=0.14519033392336333",100;153;211;302,0.006
quality_control_1,PELT,"penalty=5, jump=1, min_size=1",144;313,7.889
quality_control_2,MicroWatch(idx=0),"{""threshold_ratio"":1.216461214,""max_dist_size"":56.0,""batch_size"":3.0,""new_dist_buffer_size"":10.0}",,0.026
quality_control_2,MicroWatch(idx=1),"{""threshold_ratio"":1.866747083,""new_dist_buffer_size"":25.0,""max_dist_size"":32.0,""batch_size"":3.0}",99,0.016
quality_control_2,MicroWatch(idx=2),"{""max_dist_size"":21.0,""threshold_ratio"":0.589834253,""new_dist_buffer_size"":41.0,""batch_size"":4.0}",44;88;132;176;220;264,0.017
quality_control_2,MicroWatch(idx=3),"{""batch_size"":3.0,""new_dist_buffer_size"":33.0,""threshold_ratio"":2.10049255,""max_dist_size"":74.0}",,0.022
quality_control_2,MicroWatch(idx=4),"{""threshold_ratio"":2.081736798,""new_dist_buffer_size"":12.0,""batch_size"":6.0,""max_dist_size"":29.0}",96,0.020
quality_control_2,MicroWatch(idx=5),"{""new_dist_buffer_size"":35.0,""threshold_ratio"":1.919692992,""batch_size"":3.0,""max_dist_size"":13.0}",99,0.014
quality_control_2,MicroWatch(idx=6),"{""threshold_ratio"":1.628314707,""max_dist_size"":33.0,""batch_size"":3.0,""new_dist_buffer_size"":12.0}",99,0.017
quality_control_2,BOCPD,"alpha=0.1, beta=10, kappa=2, mu=2",93,2.647
quality_control_2,CUSUM,"twarmup=168, plimit=0.8449208818280003",112,0.010
quality_control_2,PELT,"penalty=2, jump=1, min_size=1",97;283,7.563
quality_control_3,MicroWatch(idx=0),"{""threshold_ratio"":1.144203297,""max_dist_size"":81.0,""batch_size"":4.0,""new_dist_buffer_size"":19.0}",,0.027
quality_control_3,MicroWatch(idx=1),"{""threshold_ratio"":3.923311963,""new_dist_buffer_size"":42.0,""max_dist_size"":70.0,""batch_size"":5.0}",180,0.027
quality_control_3,MicroWatch(idx=2),"{""new_dist_buffer_size"":42.0,""batch_size"":3.0,""threshold_ratio"":2.838284952,""max_dist_size"":92.0}",,0.029
quality_control_3,MicroWatch(idx=3),"{""batch_size"":5.0,""threshold_ratio"":3.840260141,""new_dist_buffer_size"":12.0,""max_dist_size"":14.0}",45,0.012
quality_control_3,MicroWatch(idx=4),"{""threshold_ratio"":0.337627206,""max_dist_size"":86.0,""batch_size"":6.0,""new_dist_buffer_size"":28.0}",42;78;108;138;174;204;234;264;294;324;354,0.036
quality_control_3,MicroWatch(idx=5),"{""threshold_ratio"":1.924426165,""max_dist_size"":27.0,""batch_size"":5.0,""new_dist_buffer_size"":22.0}",180,0.021
quality_control_3,MicroWatch(idx=6),"{""threshold_ratio"":1.87217908,""max_dist_size"":11.0,""batch_size"":5.0,""new_dist_buffer_size"":23.0}",180;235,0.017
quality_control_3,BOCPD,"alpha=10, beta=0.1, kappa=0.1, mu=5",176,4.272
quality_control_3,CUSUM,"twarmup=163, plimit=0.23880586663413858",197,0.016
quality_control_3,PELT,"penalty=4, jump=1, min_size=1",179;366,10.758
quality_control_4,MicroWatch(idx=0),"{""new_dist_buffer_size"":35.0,""batch_size"":3.0,""max_dist_size"":71.0,""threshold_ratio"":0.238082666}",,0.033
quality_control_4,MicroWatch(idx=1),"{""batch_size"":6.0,""max_dist_size"":63.0,""new_dist_buffer_size"":21.0,""threshold_ratio"":3.944112231}",,0.026
quality_control_4,MicroWatch(idx=2),"{""max_dist_size"":36.0,""threshold_ratio"":2.201370347,""batch_size"":4.0,""new_dist_buffer_size"":25.0}",180,0.021
quality_control_4,MicroWatch(idx=3),"{""batch_size"":4.0,""threshold_ratio"":3.107189201,""new_dist_buffer_size"":14.0,""max_dist_size"":47.0}",,0.023
quality_control_4,MicroWatch(idx=4),"{""threshold_ratio"":2.181676865,""new_dist_buffer_size"":24.0,""max_dist_size"":35.0,""batch_size"":3.0}",162;240;312;342;471,0.051
quality_control_4,MicroWatch(idx=5),"{""max_dist_size"":64.0,""batch_size"":3.0,""threshold_ratio"":3.948630022,""new_dist_buffer_size"":9.0}",,0.045
quality_control_4,MicroWatch(idx=6),"{""threshold_ratio"":2.243177446,""batch_size"":4.0,""new_dist_buffer_size"":18.0,""max_dist_size"":21.0}",180;200;288;344;472,0.024
quality_control_4,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,9.038
quality_control_4,CUSUM,"twarmup=298, plimit=0.5958088530403688",66;161;207;293;354;476,0.011
quality_control_4,PELT,"penalty=100, jump=1, min_size=1",500,18.639
quality_control_5,MicroWatch(idx=0),"{""max_dist_size"":94.0,""threshold_ratio"":3.070915464,""batch_size"":3.0,""new_dist_buffer_size"":19.0}",,0.044
quality_control_5,MicroWatch(idx=1),"{""new_dist_buffer_size"":3.0,""max_dist_size"":51.0,""threshold_ratio"":3.476919108,""batch_size"":6.0}",,0.019
quality_control_5,MicroWatch(idx=2),"{""batch_size"":5.0,""max_dist_size"":99.0,""threshold_ratio"":3.318086926,""new_dist_buffer_size"":39.0}",,0.023
quality_control_5,MicroWatch(idx=3),"{""batch_size"":5.0,""max_dist_size"":35.0,""threshold_ratio"":3.28483171,""new_dist_buffer_size"":17.0}",,0.013
quality_control_5,MicroWatch(idx=4),"{""batch_size"":4.0,""max_dist_size"":31.0,""new_dist_buffer_size"":41.0,""threshold_ratio"":3.324567931}",,0.020
quality_control_5,MicroWatch(idx=5),"{""batch_size"":4.0,""max_dist_size"":35.0,""threshold_ratio"":1.638863905,""new_dist_buffer_size"":27.0}",32,0.029
quality_control_5,MicroWatch(idx=6),"{""batch_size"":5.0,""new_dist_buffer_size"":41.0,""threshold_ratio"":3.234011728,""max_dist_size"":24.0}",,0.013
quality_control_5,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,3.530
quality_control_5,CUSUM,"twarmup=64, plimit=0.4315550779804488",77,0.015
quality_control_5,PELT,"penalty=2, jump=1, min_size=1",325,7.861
rail_lines,MicroWatch(idx=0),"{""max_dist_size"":87.0,""new_dist_buffer_size"":11.0,""batch_size"":6.0,""threshold_ratio"":2.310421385}",,0.008
rail_lines,MicroWatch(idx=1),"{""max_dist_size"":34.0,""batch_size"":5.0,""new_dist_buffer_size"":5.0,""threshold_ratio"":3.714126374}",5;25,0.008
rail_lines,MicroWatch(idx=2),"{""batch_size"":5.0,""threshold_ratio"":2.172725087,""max_dist_size"":95.0,""new_dist_buffer_size"":5.0}",5;25,0.007
rail_lines,MicroWatch(idx=3),"{""max_dist_size"":19.0,""new_dist_buffer_size"":5.0,""batch_size"":5.0,""threshold_ratio"":0.793160498}",5;25,0.007
rail_lines,MicroWatch(idx=4),"{""threshold_ratio"":0.515232182,""new_dist_buffer_size"":8.0,""max_dist_size"":37.0,""batch_size"":3.0}",9;24,0.008
rail_lines,MicroWatch(idx=5),"{""batch_size"":5.0,""threshold_ratio"":0.957240129,""max_dist_size"":72.0,""new_dist_buffer_size"":5.0}",25,0.009
rail_lines,MicroWatch(idx=6),"{""threshold_ratio"":1.21161539,""new_dist_buffer_size"":4.0,""batch_size"":5.0,""max_dist_size"":37.0}",5;25,0.008
rail_lines,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,0.055
rail_lines,CUSUM,"twarmup=278, plimit=0.6070900742029276",,0.001
rail_lines,PELT,"penalty=0.0000000001, jump=5, min_size=6",6;12;18;24;30;37,0.042
ratner_stock,MicroWatch(idx=0),"{""batch_size"":6.0,""threshold_ratio"":0.977566261,""new_dist_buffer_size"":6.0,""max_dist_size"":70.0}",,0.026
ratner_stock,MicroWatch(idx=1),"{""new_dist_buffer_size"":24.0,""max_dist_size"":45.0,""threshold_ratio"":3.091763487,""batch_size"":4.0}",276,0.030
ratner_stock,MicroWatch(idx=2),"{""threshold_ratio"":2.300857264,""max_dist_size"":69.0,""new_dist_buffer_size"":15.0,""batch_size"":6.0}",270,0.028
ratner_stock,MicroWatch(idx=3),"{""threshold_ratio"":3.420572722,""max_dist_size"":15.0,""batch_size"":5.0,""new_dist_buffer_size"":12.0}",210;270;330;405;455,0.022
ratner_stock,MicroWatch(idx=4),"{""threshold_ratio"":2.080022544,""new_dist_buffer_size"":39.0,""batch_size"":6.0,""max_dist_size"":30.0}",210;270,0.027
ratner_stock,MicroWatch(idx=5),"{""max_dist_size"":79.0,""new_dist_buffer_size"":37.0,""threshold_ratio"":1.579000706,""batch_size"":3.0}",162,0.063
ratner_stock,MicroWatch(idx=6),"{""batch_size"":5.0,""threshold_ratio"":1.305230664,""max_dist_size"":89.0,""new_dist_buffer_size"":11.0}",15;30;80;160;205;245;260;275;290;305;330;355;405;455;560;580;595,0.066
ratner_stock,BOCPD,"alpha=0.01, beta=0.1, kappa=0.1, mu=10",200;267,12.286
ratner_stock,CUSUM,"twarmup=299, plimit=0.876822018756594",40;81;146;202;250;286;335;376;410;453;498;535;575,0.007
ratner_stock,PELT,"penalty=6, jump=4, min_size=1",208;273;600,26.759
robocalls,MicroWatch(idx=0),"{""max_dist_size"":83.0,""batch_size"":5.0,""threshold_ratio"":2.295247891,""new_dist_buffer_size"":39.0}",,0.008
robocalls,MicroWatch(idx=1),"{""batch_size"":3.0,""max_dist_size"":53.0,""threshold_ratio"":3.551455921,""new_dist_buffer_size"":3.0}",3;9;36,0.011
robocalls,MicroWatch(idx=2),"{""new_dist_buffer_size"":3.0,""threshold_ratio"":1.06948619,""batch_size"":6.0,""max_dist_size"":79.0}",6;36,0.008
robocalls,MicroWatch(idx=3),"{""max_dist_size"":18.0,""new_dist_buffer_size"":8.0,""threshold_ratio"":2.901260681,""batch_size"":4.0}",8;36,0.005
robocalls,MicroWatch(idx=4),"{""max_dist_size"":22.0,""batch_size"":3.0,""new_dist_buffer_size"":6.0,""threshold_ratio"":2.398975871}",6;39,0.009
robocalls,MicroWatch(idx=5),"{""max_dist_size"":53.0,""threshold_ratio"":2.619966533,""batch_size"":3.0,""new_dist_buffer_size"":9.0}",9;36,0.009
robocalls,MicroWatch(idx=6),"{""batch_size"":5.0,""max_dist_size"":23.0,""new_dist_buffer_size"":39.0,""threshold_ratio"":0.227726614}",40,0.004
robocalls,BOCPD,"alpha=0.001, beta=0.001, kappa=0.5, mu=0",,0.092
robocalls,CUSUM,"twarmup=238, plimit=0.34212335905445085",38,0.002
robocalls,PELT,"penalty=1, jump=1, min_size=8",8;32;40;52,0.082
run_log,MicroWatch(idx=0),"{""threshold_ratio"":3.580857085,""max_dist_size"":19.0,""new_dist_buffer_size"":50.0,""batch_size"":4.0}",,0.012
run_log,MicroWatch(idx=1),"{""batch_size"":6.0,""new_dist_buffer_size"":13.0,""threshold_ratio"":3.194567721,""max_dist_size"":36.0}",60;96;114;174;204;240;258;318;336,0.033
run_log,MicroWatch(idx=2),"{""batch_size"":4.0,""threshold_ratio"":0.822113408,""max_dist_size"":24.0,""new_dist_buffer_size"":13.0}",16;32;48;64;80;96;112;128;144;160;176;192;208;224;240;256;272;288;304;320;336;352;368,0.023
run_log,MicroWatch(idx=3),"{""new_dist_buffer_size"":32.0,""batch_size"":4.0,""threshold_ratio"":1.35199548,""max_dist_size"":48.0}",88;140;208;268;320,0.036
run_log,MicroWatch(idx=4),"{""threshold_ratio"":0.748086887,""max_dist_size"":46.0,""batch_size"":3.0,""new_dist_buffer_size"":35.0}",63;99;135;171;207;243;279;315;366,0.043
run_log,MicroWatch(idx=5),"{""batch_size"":3.0,""max_dist_size"":49.0,""threshold_ratio"":1.272772745,""new_dist_buffer_size"":29.0}",30;63;93;123;180;210;264;318,0.062
run_log,MicroWatch(idx=6),"{""threshold_ratio"":1.105168395,""batch_size"":4.0,""new_dist_buffer_size"":15.0,""max_dist_size"":47.0}",16;32;48;64;80;96;112;128;144;160;176;192;208;224;240;256;272;288;304;320;336;352;368,0.021
run_log,PELT,"penalty=1, jump=9, min_size=1",9;60;70;79;96;105;114;123;167;177;204;240;258;276;307;317;376,12.500
scanline_126007,MicroWatch(idx=0),"{""new_dist_buffer_size"":46.0,""threshold_ratio"":0.977110113,""batch_size"":3.0,""max_dist_size"":32.0}",,0.022
scanline_126007,MicroWatch(idx=1),"{""max_dist_size"":55.0,""new_dist_buffer_size"":47.0,""batch_size"":5.0,""threshold_ratio"":1.557976055}",180;255,0.028
scanline_126007,MicroWatch(idx=2),"{""batch_size"":6.0,""threshold_ratio"":3.57350436,""max_dist_size"":54.0,""new_dist_buffer_size"":10.0}",,0.022
scanline_126007,MicroWatch(idx=3),"{""max_dist_size"":48.0,""new_dist_buffer_size"":10.0,""threshold_ratio"":2.818609088,""batch_size"":4.0}",,0.021
scanline_126007,MicroWatch(idx=4),"{""max_dist_size"":78.0,""batch_size"":6.0,""threshold_ratio"":2.028758647,""new_dist_buffer_size"":11.0}",108;120;162;174;252;264;288;306;318,0.085
scanline_126007,MicroWatch(idx=5),"{""max_dist_size"":74.0,""batch_size"":4.0,""new_dist_buffer_size"":11.0,""threshold_ratio"":3.082583756}",292,0.048
scanline_126007,MicroWatch(idx=6),"{""threshold_ratio"":1.255096468,""max_dist_size"":13.0,""batch_size"":6.0,""new_dist_buffer_size"":12.0}",42;54;78;102;126;138;150;162;174;252;264;288;306;318;330;342;354;366;378;390,0.029
scanline_126007,BOCPD,"alpha=10, beta=10, kappa=0.5, mu=100",247,7.636
scanline_126007,CUSUM,"twarmup=279, plimit=0.8565453717188082",48;89;143;201;257;295;336;377;417;470,0.007
scanline_126007,PELT,"penalty=6, jump=1, min_size=1",163;251;265;280;292;307;376;403;481,19.062
scanline_42049,MicroWatch(idx=0),"{""max_dist_size"":77.0,""batch_size"":3.0,""threshold_ratio"":1.057818306,""new_dist_buffer_size"":49.0}",,0.035
scanline_42049,MicroWatch(idx=1),"{""max_dist_size"":44.0,""batch_size"":3.0,""new_dist_buffer_size"":15.0,""threshold_ratio"":2.474819606}",60;78;168;183;276;348;363;468,0.061
scanline_42049,MicroWatch(idx=2),"{""new_dist_buffer_size"":37.0,""max_dist_size"":82.0,""threshold_ratio"":0.711666818,""batch_size"":6.0}",42;186;228;270;354;468,0.041
scanline_42049,MicroWatch(idx=3),"{""batch_size"":5.0,""new_dist_buffer_size"":16.0,""threshold_ratio"":1.646664095,""max_dist_size"":89.0}",55,0.033
scanline_42049,MicroWatch(idx=4),"{""threshold_ratio"":0.343397746,""max_dist_size"":81.0,""new_dist_buffer_size"":22.0,""batch_size"":3.0}",24;51;75;183;273;354;468,0.137
scanline_42049,MicroWatch(idx=5),"{""threshold_ratio"":0.546164796,""batch_size"":4.0,""max_dist_size"":79.0,""new_dist_buffer_size"":49.0}",76;128;180;276;364,0.060
scanline_42049,MicroWatch(idx=6),"{""batch_size"":4.0,""threshold_ratio"":0.965736645,""new_dist_buffer_size"":49.0,""max_dist_size"":91.0}",52;192;272;356,0.050
scanline_42049,BOCPD,"alpha=0.01, beta=0.001, kappa=100, mu=200",49;50;72;73;178;270;271,7.574
scanline_42049,CUSUM,"twarmup=288, plimit=0.15471524599019587",38;75;175;251;291;330;394;436;468,0.008
scanline_42049,PELT,"penalty=8, jump=1, min_size=1",55;77;184;275;349;363;466;481,17.146
seatbelts,MicroWatch(idx=0),"{""batch_size"":5.0,""max_dist_size"":38.0,""new_dist_buffer_size"":48.0,""threshold_ratio"":0.999174189}",,0.010
seatbelts,MicroWatch(idx=1),"{""threshold_ratio"":0.878249372,""new_dist_buffer_size"":43.0,""max_dist_size"":56.0,""batch_size"":3.0}",60;171,0.021
seatbelts,MicroWatch(idx=2),"{""new_dist_buffer_size"":16.0,""batch_size"":5.0,""max_dist_size"":76.0,""threshold_ratio"":1.981385895}",,0.017
seatbelts,MicroWatch(idx=3),"{""new_dist_buffer_size"":14.0,""max_dist_size"":14.0,""threshold_ratio"":1.874862016,""batch_size"":5.0}",45;60;170,0.009
seatbelts,MicroWatch(idx=4),"{""new_dist_buffer_size"":49.0,""batch_size"":6.0,""max_dist_size"":55.0,""threshold_ratio"":0.712187895}",60;168,0.016
seatbelts,MicroWatch(idx=5),"{""batch_size"":4.0,""new_dist_buffer_size"":50.0,""max_dist_size"":22.0,""threshold_ratio"":0.540306661}",56;116,0.013
seatbelts,MicroWatch(idx=6),"{""batch_size"":4.0,""max_dist_size"":83.0,""threshold_ratio"":0.983631215,""new_dist_buffer_size"":45.0}",168,0.015
seatbelts,BOCPD,"alpha=0.1, beta=0.001, kappa=0.1, mu=200",164,1.207
seatbelts,CUSUM,"twarmup=196, plimit=0.5051431329426558",52;136;176,0.004
seatbelts,PELT,"penalty=5, jump=5, min_size=1",72;169;192,2.827
shanghai_license,MicroWatch(idx=0),"{""max_dist_size"":61.0,""batch_size"":3.0,""threshold_ratio"":1.043895279,""new_dist_buffer_size"":45.0}",,0.023
shanghai_license,MicroWatch(idx=1),"{""threshold_ratio"":3.617434115,""new_dist_buffer_size"":33.0,""batch_size"":5.0,""max_dist_size"":93.0}",145,0.065
shanghai_license,MicroWatch(idx=2),"{""threshold_ratio"":2.746570231,""max_dist_size"":73.0,""new_dist_buffer_size"":12.0,""batch_size"":5.0}",55;160,0.044
shanghai_license,MicroWatch(idx=3),"{""max_dist_size"":71.0,""threshold_ratio"":3.886121913,""batch_size"":6.0,""new_dist_buffer_size"":46.0}",168,0.020
shanghai_license,MicroWatch(idx=4),"{""batch_size"":5.0,""new_dist_buffer_size"":36.0,""threshold_ratio"":1.886476529,""max_dist_size"":35.0}",55;145,0.022
shanghai_license,MicroWatch(idx=5),"{""threshold_ratio"":2.32966091,""new_dist_buffer_size"":26.0,""max_dist_size"":93.0,""batch_size"":5.0}",55;145,0.060
shanghai_license,MicroWatch(idx=6),"{""threshold_ratio"":1.270643508,""batch_size"":5.0,""max_dist_size"":32.0,""new_dist_buffer_size"":29.0}",55;145,0.019
shanghai_license,BOCPD,"alpha=0.5, beta=0.001, kappa=100, mu=0",52;53;140;141,1.469
shanghai_license,CUSUM,"twarmup=200, plimit=0.28998842262540725",58;136;173,0.003
shanghai_license,PELT,"penalty=10, jump=5, min_size=1",74;146;205,3.205
uk_coal_employ,MicroWatch(idx=0),"{""batch_size"":5.0,""threshold_ratio"":0.164684234,""max_dist_size"":30.0,""new_dist_buffer_size"":21.0}",,0.007
uk_coal_employ,MicroWatch(idx=1),"{""max_dist_size"":36.0,""threshold_ratio"":1.393403099,""batch_size"":5.0,""new_dist_buffer_size"":4.0}",5,0.007
uk_coal_employ,MicroWatch(idx=2),"{""threshold_ratio"":0.769394577,""max_dist_size"":77.0,""batch_size"":5.0,""new_dist_buffer_size"":9.0}",,0.012
uk_coal_employ,MicroWatch(idx=3),"{""batch_size"":3.0,""threshold_ratio"":1.913102637,""new_dist_buffer_size"":12.0,""max_dist_size"":54.0}",,0.012
uk_coal_employ,MicroWatch(idx=4),"{""threshold_ratio"":2.582841263,""new_dist_buffer_size"":16.0,""max_dist_size"":52.0,""batch_size"":4.0}",,0.013
uk_coal_employ,MicroWatch(idx=5),"{""max_dist_size"":40.0,""new_dist_buffer_size"":14.0,""batch_size"":6.0,""threshold_ratio"":0.872643984}",,0.007
uk_coal_employ,MicroWatch(idx=6),"{""batch_size"":4.0,""threshold_ratio"":1.796328147,""new_dist_buffer_size"":47.0,""max_dist_size"":28.0}",,0.004
uk_coal_employ,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,0.604
uk_coal_employ,CUSUM,"twarmup=66, plimit=0.3557651427886687",,0.003
